Submission Date,Who was your coaching call with?,What did you work on in the coaching call?,Was the purpose of the call fulfilled? (Did the coach successfully help you with what you wanted?),Were all of your questions answered and clearly explained?,How was the coaches attitude on the call?,Rate your overall experience in the call,Do you have any ideas / recommendations that would help improve your experience?,Are there any improvements you'd like to see from the coaches?,utm_source,utm_campaign,utm_medium,utm_term,Submission ID,Week-Year,Avg,Streak
"2023 October 12, 10:35AM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,PatrickMillar,Michael Bondarenko,Ad Account Review (After Going Live),"Thursday, October 12, 2023 10:30am (Sydney, Melbourne Time)",5728783560223436041,41-2023,5,
"2023 October 12, 12:26PM",Shahin Ghorbani,Ad Angle Review,5,5,5,5,,,AminAbbas,Shahin Ghorbani,Ad Account Review (Before Going Live),"Thursday, October 12, 2023 12:10pm (Sydney, Melbourne Time)",5728849954923898629,41-2023,5,
"2023 October 12, 2:21PM",Shahin Ghorbani,Ad Angle Review,5,5,5,5,,,Harshil,Shahin Ghorbani,Ad Account Review (After Going Live),"Thursday, October 12, 2023 02:30pm (Sydney, Melbourne Time)",5728918970874978675,41-2023,5,
"2023 October 12, 3:01PM",Luigi Mammoliti,Product Research,5,5,5,5,,,NyibolAkech-kuir,Louie Mammoliti,Product Research,"Thursday, October 12, 2023 02:00pm (Brisbane Time)",5728942781414390413,41-2023,5,
"2023 October 12, 3:34PM",Luigi Mammoliti,Website Optimisation,5,5,5,5,,,Ashish,Louie Mammoliti,Website Optimisation,"Thursday, October 12, 2023 03:30pm (Sydney, Melbourne Time)",5728962719514410210,41-2023,5,
"2023 October 12, 6:02PM",Shahin Ghorbani,"Ad Angle Review
Ad Account Review",5,5,5,5,,,NoyanRezai,Shahin Ghorbani,Ad Account Review (After Going Live),"Thursday, October 12, 2023 04:50pm (Sydney, Melbourne Time)",5729051502211644193,41-2023,5,
"2023 October 12, 6:08PM",Leon Tebyani,Ad Account Review,5,5,5,5,,,shannonmurphy,Leon Tebyani,Ad Account Review (After Going Live),"Thursday, October 12, 2023 08:50 (Central European Time)",5729054978718279386,41-2023,5,
"2023 October 12, 7:36PM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,MARIACAROLINA DELGADO,Michael Bondarenko,Ad Account Review (After Going Live),"Thursday, October 12, 2023 10:40am (Adelaide Time)",5729107686406607033,41-2023,5,
"2023 October 13, 11:01AM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,MontanahReasons,Michael Bondarenko,Ad Account Review (After Going Live),"Friday, October 13, 2023 10:10am (Brisbane Time)",5729662723816595876,41-2023,5,
"2023 October 13, 12:21PM",Shahin Ghorbani,Ad Angle Review,5,5,5,5,,,Bishwolama,Shahin Ghorbani,Ad Account Review (After Going Live),"Friday, October 13, 2023 11:30am (Brisbane Time)",5729711023126354903,41-2023,5,
"2023 October 13, 2:04PM",Luigi Mammoliti,Product Research,5,5,5,5,The coach was fast and efficient we got through the whole call in about 10 mins! Thank you!,You guys are running a great program. I have no faults at this time!,WillowSmith,Louie Mammoliti,Product Research,"Friday, October 13, 2023 11:00am (Brisbane Time)",5729772450738002539,41-2023,5,
"2023 October 13, 4:19PM",Luigi Mammoliti,Ad Account Review,5,5,5,5,10/10,,MilanThapa Magar,Louie Mammoliti,"Other (Questions, Pixels, Etc)","Friday, October 13, 2023 04:00pm (Sydney, Melbourne Time)",5729853835017942234,41-2023,5,
"2023 October 13, 4:47PM",Michael Bondarenko,Ad Angle Review,5,5,5,5,,,Harshil,Michael Bondarenko,Ad Account Review (After Going Live),"Friday, October 13, 2023 02:30pm (Sydney, Melbourne Time)",5729870785523006688,41-2023,5,
"2023 October 13, 5:47PM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,RoshanAmunupurage,Michael Bondarenko,Ad Account Review (After Going Live),"Friday, October 13, 2023 05:10pm (Sydney, Melbourne Time)",5729906314819027469,41-2023,5,
"2023 October 14, 11:00AM",Shahin Ghorbani,Ad Account Review,5,5,5,5,thanks again Shahin,,PatrickThomas,Shahin Ghorbani,Ad Account Review (After Going Live),"Friday, October 13, 2023 04:10pm (Brisbane Time)",5730526272015785850,41-2023,5,
"2023 October 14, 5:35PM",Leon Tebyani,Ad Account Review,5,5,5,5,,,TimothyLongden,Louie Mammoliti,"Other (Questions, Pixels, Etc)","Saturday, October 14, 2023 03:30pm (Adelaide Time)",5730763565114599896,41-2023,5,
"2023 October 15, 4:34PM",Luigi Mammoliti,Ad Account Review,5,5,5,5,great,luigi the goat,Adam,Louie Mammoliti,Ad Account Review (After Going Live),"Saturday, October 14, 2023 12:30pm (Sydney, Melbourne Time)",5731590595305151910,42-2023,5,
"2023 October 15, 5:19PM",Leon Tebyani,Ad Account Review,5,5,5,5,,,RebeccaAngeleski,Leon Tebyani,Ad Account Review (After Going Live),"Sunday, October 15, 2023 04:30pm (Sydney, Melbourne Time)",5731617877715755063,42-2023,5,
"2023 October 16, 3:11PM",Shahin Ghorbani,Ad Account Review,5,5,5,5,no,coach was very helpful,MichaelDicarlo,Shahin Ghorbani,Ad Account Review (After Going Live),"Monday, October 16, 2023 03:10pm (Sydney, Melbourne Time)",5732405119329407928,42-2023,5,
"2023 October 16, 4:01PM",Shahin Ghorbani,Ad Angle Review,5,5,5,5,,Thankyou brother Shahin!,TitanPange,Shahin Ghorbani,Ad Angle / Images / Audiences Review (NOT Ad Accounts),"Monday, October 16, 2023 06:10pm (Auckland Time)",5732435191113944642,42-2023,5,
"2023 October 16, 4:26PM",Michael Bondarenko,Ad Account Review,5,5,5,5,legend,Let michael and luigi do ad account reviews!,Adam,Michael Bondarenko,Ad Account Review (After Going Live),"Monday, October 16, 2023 04:30pm (Sydney, Melbourne Time)",5732449687018853159,42-2023,5,
"2023 October 16, 5:29PM",Luigi Mammoliti,Product Research,5,5,5,5,,,BoydSaxby,Louie Mammoliti,Product Research,"Friday, October 13, 2023 03:30pm (Sydney, Melbourne Time)",5732487525676975459,42-2023,5,
"2023 October 16, 7:47PM",Leon Tebyani,Ad Angle Review,5,5,5,5,,,nick,Leon Tebyani,Ad Account Review (After Going Live),"Monday, October 16, 2023 05:50pm (Sydney, Melbourne Time)",5732570676817816080,42-2023,5,
"2023 October 16, 9:05PM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,shannon,Michael Bondarenko,Ad Account Review (After Going Live),"Monday, October 16, 2023 07:10 (Central European Time)",5732617334011785705,42-2023,5,
"2023 October 17, 12:53PM",Shahin Ghorbani,Ad Account Review,5,5,5,5,,,XavierButcher,Shahin Ghorbani,Ad Account Review (After Going Live),"Tuesday, October 17, 2023 12:30pm (Sydney, Melbourne Time)",5733185969503915463,42-2023,5,
"2023 October 17, 3:07PM",Michael Bondarenko,Ad Angle Review,5,5,5,5,"Mike is a Legend, I watch the course over and over again and all of a sudden I get the man himself coaching me and yea he has done a fantastic job, throwing gems at me and giving me that much-needed boost and elevating my ad angles to a whole new level. Give this man a fkn beer for his efforts. Truly a legend. Thanks, Mike for your time, and help, I appreciate it man.","nah man, the coaches are awesome man keep doing great. You are helping us tremendously and I appreciate all the work and effort you guys put in for us. God Bless 6FDS fam!",Damien,Michael Bondarenko,Ad Account Review (Before Going Live),"Tuesday, October 17, 2023 05:10pm (Auckland Time)",5733266686225115253,42-2023,5,
"2023 October 17, 6:44PM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,PrabathDissanayake,Michael Bondarenko,Ad Account Review (After Going Live),"Tuesday, October 17, 2023 04:50pm (Sydney, Melbourne Time)",5733396888011702968,42-2023,5,
"2023 October 18, 5:03PM",Michael Bondarenko,Ad Angle Review,5,5,5,5,"great advice, thanks michael!",,PatrickThomas,Michael Bondarenko,Ad Account Review (Before Going Live),"Wednesday, October 18, 2023 03:50pm (Brisbane Time)",5734199962669289024,42-2023,5,
"2023 October 18, 8:03PM",Luigi Mammoliti,Product Research,5,5,5,5,,Just happy to be moving forward!!! Week 2 baby,ShayPeacock,Louie Mammoliti,Product Research,"Wednesday, October 18, 2023 03:00pm (Sydney, Melbourne Time)",5734308142013880510,42-2023,5,
"2023 October 18, 8:11PM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,Jason,Michael Bondarenko,Ad Account Review (After Going Live),"Tuesday, October 17, 2023 04:30pm (Sydney, Melbourne Time)",5734312687815362381,42-2023,5,
"2023 October 19, 11:31AM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,DrewFarnsworth,Michael Bondarenko,Ad Account Review (After Going Live),"Wednesday, October 18, 2023 05:30pm (Pacific Time - US",5734864632413566089,42-2023,5,
"2023 October 19, 2:10PM",Leon Tebyani,"Website Optimisation
Ad Account Review",5,5,5,5,"Not really. 
Everything was great, he answered all of my questions. He's been really helpful and everything went well. I am happy with our coaching call today. 
Thank you :)",N/A,ClaudineAsuncion,Leon Tebyani,Ad Account Review (After Going Live),"Thursday, October 19, 2023 01:10pm (Brisbane Time)",5734960455811955444,42-2023,5,
"2023 October 19, 2:23PM",Leon Tebyani,Ad Angle Review,5,5,5,5,,,HarshilMistry,Leon Tebyani,Ad Account Review (After Going Live),"Thursday, October 19, 2023 02:30pm (Sydney, Melbourne Time)",5734967827011765790,42-2023,5,
"2023 October 19, 3:51PM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,MartinRicketts,Michael Bondarenko,Ad Account Review (After Going Live),"Thursday, October 19, 2023 10:50am (Sydney, Melbourne Time)",5735020860514528882,42-2023,5,
"2023 October 19, 3:51PM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,MartinRicketts,Michael Bondarenko,Ad Account Review (After Going Live),"Thursday, October 19, 2023 10:50am (Sydney, Melbourne Time)",5735020980518678136,42-2023,5,
"2023 October 19, 4:07PM",Shahin Ghorbani,Ad Angle Review,5,5,5,5,No he was great. thank you,,marlenaattard,Shahin Ghorbani,Ad Account Review (After Going Live),"Thursday, October 19, 2023 04:10pm (Sydney, Melbourne Time)",5735030682415943162,42-2023,5,
"2023 October 19, 4:26PM",Luigi Mammoliti,Website Optimisation,5,5,5,5,,,Rochellesmith,Louie Mammoliti,Website Optimisation,"Thursday, October 19, 2023 04:00pm (Sydney, Melbourne Time)",5735042183227393586,42-2023,5,
"2023 October 19, 5:00PM",Luigi Mammoliti,Website Optimisation,5,5,5,5,,,KautherAnwar,Louie Mammoliti,"Other (Questions, Pixels, Etc)","Thursday, October 19, 2023 02:00pm (Sydney, Melbourne Time)",5735062313013936622,42-2023,5,
"2023 October 19, 5:55PM",Shahin Ghorbani,Ad Account Review,5,5,5,5,,,BahleGadzani,Shahin Ghorbani,Ad Account Review (Before Going Live),"Thursday, October 19, 2023 12:10pm (Australia/Perth)",5735095346675663001,42-2023,5,
"2023 October 19, 6:26PM",Michael Bondarenko,Product Research,5,5,5,5,,"No, Michael did amazing and brought really good energy to the call. Loved his no-BS approach, he answered all my questions aptly and honestly. Keep up the good work team!",TimKireenko,Michael Bondarenko,Product Research,"Thursday, October 19, 2023 04:30pm (Sydney, Melbourne Time)",5735114047465016600,42-2023,5,
"2023 October 19, 8:16PM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,Lis,Michael Bondarenko,Ad Account Review (Before Going Live),"Thursday, October 19, 2023 10:30am (Sydney, Melbourne Time)",5735180071121070585,42-2023,5,
"2023 October 20, 12:49PM",Shahin Ghorbani,Ad Angle Review,5,5,5,5,,,AshleyHannant,Shahin Ghorbani,Ad Angle / Images / Audiences Review (NOT Ad Accounts),"Friday, October 20, 2023 11:10am (Brisbane Time)",5735775445215578742,42-2023,5,
"2023 October 20, 2:52PM",Shahin Ghorbani,Ad Angle Review,5,5,5,5,,,JasminSchiafone,Shahin Ghorbani,Ad Account Review (Before Going Live),"Friday, October 20, 2023 02:50pm (Sydney, Melbourne Time)",5735849689164541369,42-2023,5,
"2023 October 20, 3:06PM",Luigi Mammoliti,Website Optimisation,5,5,5,5,Louie was really great! I was nervous about the call but it was short and easy. Only the simple things I needed to improve on the website and really happy with the result! Can't wait for other future calls!,,JessThompson,Louie Mammoliti,Website Optimisation,"Friday, October 20, 2023 01:30pm (Brisbane Time)",5735858069026360124,42-2023,5,
"2023 October 20, 4:40PM",Luigi Mammoliti,Ad Angle Review,5,5,5,5,,,PhoebeSinclair,Louie Mammoliti,Ad Account Review (Before Going Live),"Friday, October 20, 2023 03:30pm (Brisbane Time)",5735914164195955651,42-2023,5,
"2023 October 20, 4:54PM",Luigi Mammoliti,Ad Angle Review,5,5,5,5,,,PhoebeSinclair,Louie Mammoliti,Ad Account Review (Before Going Live),"Friday, October 20, 2023 03:30pm (Brisbane Time)",5735922473235850708,42-2023,5,
"2023 October 20, 4:58PM",Luigi Mammoliti,Product Research,5,5,5,5,Very happy with our call.,,SharonMcMillin,Louie Mammoliti,Product Research,"Friday, October 20, 2023 10:00am (Sydney, Melbourne Time)",5735925368413350212,42-2023,5,
"2023 October 20, 5:24PM",Luigi Mammoliti,Ad Angle Review,5,5,5,5,,,RubaArifaki,Louie Mammoliti,"Other (Questions, Pixels, Etc)","Friday, October 20, 2023 12:00pm (Sydney, Melbourne Time)",5735940742638063636,42-2023,5,
"2023 October 20, 6:21PM",Luigi Mammoliti,Ad Account Review,5,5,5,5,,,Ashish,Louie Mammoliti,"Other (Questions, Pixels, Etc)","Thursday, October 19, 2023 03:30pm (Sydney, Melbourne Time)",5735975019511006990,42-2023,5,
"2023 October 22, 1:02PM",Leon Tebyani,Ad Account Review,5,5,5,5,,,PrabathDissanayake,Leon Tebyani,Ad Account Review (After Going Live),"Sunday, October 22, 2023 01:10pm (Sydney, Melbourne Time)",5737511297305763815,43-2023,5,
"2023 October 22, 3:08PM",Leon Tebyani,Ad Account Review,5,5,5,5,very good at his job. answers all of our questions,.,nicholas,Leon Tebyani,Ad Account Review (After Going Live),"Sunday, October 22, 2023 03:10pm (Sydney, Melbourne Time)",5737587366817079299,43-2023,5,
"2023 October 23, 9:44AM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,MelissaMartin,Michael Bondarenko,Ad Account Review (After Going Live),"Friday, October 13, 2023 10:30am (Sydney, Melbourne Time)",5738256847416358353,43-2023,5,
"2023 October 23, 9:45AM",Shahin Ghorbani,Ad Account Review,5,5,5,5,,,MelissaMartin,Shahin Ghorbani,Ad Account Review (After Going Live),"Wednesday, October 11, 2023 12:30pm (Sydney, Melbourne Time)",5738257207414660346,43-2023,5,
"2023 October 23, 1:55PM",Michael Bondarenko,Ad Account Review,3,4,3,3,"It's a little confusing when we hear conflicting information.
Michael recommends we switch off ads that are spending too much (>$25) during the 4-day campaign test without any sales, however, in the training it was pretty explicit that we shouldn't touch them.

The next step should have been a chat about the scenarios, looking at CTR, analysing which images performed better, which ones we should swap out, but Michael mentioned the only stat that is important is whether we got the sale or not.

We didnt look at winning audiences either or at least what audiences had the better ""interest"" in our product.

I realise Michael probable has a long day saying the same stuff over and over again, it's evident haha BUT a unique perspective on every campaign would be nice.

I know we aren't set to make $1000's on the first campaign, but some more insight on the data collected in line with the course's teachings maaaayyy have been better?

Anyhow I'm very grateful to have had a meeting with him and get some new insight/perspectives outside of the course. Marketing is a big testing ground afterall!",as above,DalelSassine,Michael Bondarenko,Ad Account Review (After Going Live),"Monday, October 23, 2023 12:50pm (Brisbane Time)",5738407184817493284,43-2023,3.25,
"2023 October 23, 3:01PM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,TitanPange,Michael Bondarenko,Ad Account Review (Before Going Live),"Monday, October 23, 2023 05:10pm (Auckland Time)",5738446991112886375,43-2023,5,
"2023 October 24, 2:05PM",Leon Tebyani,Product Research,5,5,5,5,,,JoshGriffiths,Leon Tebyani,Product Research,"Tuesday, October 24, 2023 02:00pm (Sydney, Melbourne Time)",5739277077129809789,43-2023,5,
"2023 October 24, 3:45PM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,JeanAbacan,Michael Bondarenko,Ad Account Review (Before Going Live),"Tuesday, October 24, 2023 03:10pm (Sydney, Melbourne Time)",5739337476186880651,43-2023,5,
"2023 October 24, 3:55PM",Shahin Ghorbani,Ad Account Review,5,5,5,5,none! The coaches are more than helpful!,"None at all, 5 Star every time",brandon,Shahin Ghorbani,Ad Account Review (Before Going Live),"Tuesday, October 24, 2023 05:10pm (Auckland Time)",5739343430225766221,43-2023,5,
"2023 October 24, 4:47PM",Shahin Ghorbani,Ad Account Review,5,5,5,5,,,Ruba,Shahin Ghorbani,Ad Account Review (After Going Live),"Tuesday, October 24, 2023 04:50pm (Sydney, Melbourne Time)",5739374398122030917,43-2023,5,
"2023 October 24, 5:01PM",Shahin Ghorbani,Ad Angle Review,5,5,5,5,,,JacobBresaz-O'Connor,Shahin Ghorbani,Ad Angle / Images / Audiences Review (NOT Ad Accounts),"Tuesday, October 24, 2023 07:10pm (Auckland Time)",5739383165915252067,43-2023,5,
"2023 October 24, 7:04PM",Leon Tebyani,Website Optimisation,3,3,3,3,,,KautherAnwar,Leon Tebyani,"Other (Questions, Pixels, Etc)","Monday, October 23, 2023 08:00pm (Sydney, Melbourne Time)",5739456733016329719,43-2023,3,
"2023 October 24, 7:54PM",Michael Bondarenko,Ad Account Review,5,5,5,5,Excellent guy really helpful and super knowledgeable!,,JasminSchiafone,Michael Bondarenko,Ad Account Review (After Going Live),"Tuesday, October 24, 2023 03:30pm (Sydney, Melbourne Time)",5739486949165656198,43-2023,5,
"2023 October 24, 8:47PM",Shahin Ghorbani,Ad Account Review,5,5,5,5,,,Jason,Shahin Ghorbani,Ad Account Review (After Going Live),"Tuesday, October 24, 2023 12:10pm (Sydney, Melbourne Time)",5739518477816092123,43-2023,5,
"2023 October 25, 2:10PM",Leon Tebyani,"Website Optimisation
Ad Angle Review
Ad Account Review",5,5,5,5,,,PatrickMillar,Leon Tebyani,"Other (Questions, Pixels, Etc)","Wednesday, October 25, 2023 02:00pm (Sydney, Melbourne Time)",5740144040228111186,43-2023,5,
"2023 October 25, 2:54PM",Michael Bondarenko,"Ad Angle Review
Ad Account Review",5,5,5,5,,,AshleyHannant,Michael Bondarenko,Ad Account Review (Before Going Live),"Wednesday, October 25, 2023 12:30pm (Brisbane Time)",5740170431619533858,43-2023,5,
"2023 October 25, 4:18PM",Luigi Mammoliti,Website Optimisation,5,5,5,5,No Louie was great,No all good,AlexAng,Louie Mammoliti,Website Optimisation,"Wednesday, October 25, 2023 04:00pm (Sydney, Melbourne Time)",5740221105961189917,43-2023,5,
"2023 October 25, 5:35PM",Shahin Ghorbani,Ad Angle Review,5,5,5,5,,,TimothyLongden,Shahin Ghorbani,Ad Angle / Images / Audiences Review (NOT Ad Accounts),"Wednesday, October 25, 2023 04:40pm (Adelaide Time)",5740267505115926905,43-2023,5,
"2023 October 26, 4:06PM",Shahin Ghorbani,Ad Angle Review,5,5,5,5,,,marlenaattard,Shahin Ghorbani,Ad Account Review (After Going Live),"Thursday, October 26, 2023 04:10pm (Sydney, Melbourne Time)",5741078022412151252,43-2023,5,
"2023 October 26, 4:09PM",Luigi Mammoliti,Product Research,5,5,5,5,,,EngeleenCortez,Louie Mammoliti,Product Research,"Thursday, October 26, 2023 03:00pm (Sydney, Melbourne Time)",5741079674222237408,43-2023,5,
"2023 October 26, 4:18PM",Luigi Mammoliti,Website Optimisation,5,5,5,5,,,sagar,Louie Mammoliti,Website Optimisation,"Thursday, October 26, 2023 04:00pm (Sydney, Melbourne Time)",5741085252222350918,43-2023,5,
"2023 October 26, 5:06PM",Shahin Ghorbani,Ad Account Review,5,5,5,5,,,EbonyClark,Shahin Ghorbani,Ad Account Review (After Going Live),"Thursday, October 26, 2023 05:10pm (Sydney, Melbourne Time)",5741113865784445386,43-2023,5,
"2023 October 26, 10:06PM",Leon Tebyani,Ad Account Review,5,5,5,5,leon is the best. very helpful,no,nicholas,Leon Tebyani,Ad Account Review (After Going Live),"Thursday, October 26, 2023 06:10pm (Sydney, Melbourne Time)",5741294082417508834,43-2023,5,
"2023 October 27, 10:31AM",Luigi Mammoliti,Website Optimisation,5,5,5,5,,,kelvindobariya,Louie Mammoliti,Website Optimisation,"Friday, October 27, 2023 10:00am (Adelaide Time)",5741740832277988749,43-2023,5,
"2023 October 27, 12:33PM",Luigi Mammoliti,Website Optimisation,5,5,5,5,N/A,"N/A. 
Everything went well. 
I just wanted to say thank you to Loui for reminding me not to get too attached on my product. 
Thanks heaps ?",ClaudineAsuncion,Louie Mammoliti,"Other (Questions, Pixels, Etc)","Friday, October 27, 2023 10:00am (Brisbane Time)",5741814349615745775,43-2023,5,
"2023 October 27, 3:33PM",Luigi Mammoliti,Website Optimisation,5,5,5,5,,,DamienHallion,Louie Mammoliti,Website Optimisation,"Friday, October 27, 2023 02:00pm (Brisbane Time)",5741921891666288075,43-2023,5,
"2023 October 27, 4:10PM",Shahin Ghorbani,Ad Angle Review,5,5,5,5,,,NiheshThevakumar,Shahin Ghorbani,Ad Angle / Images / Audiences Review (NOT Ad Accounts),"Friday, October 27, 2023 04:10pm (Sydney, Melbourne Time)",5741944297313221803,43-2023,5,
"2023 October 27, 4:22PM",Shahin Ghorbani,Ad Account Review,5,5,5,5,,,Furtunaokubazghi,Shahin Ghorbani,Ad Account Review (After Going Live),"Friday, October 27, 2023 04:30pm (Sydney, Melbourne Time)",5741951234619130132,43-2023,5,
"2023 October 27, 5:28PM",Luigi Mammoliti,Website Optimisation,5,5,5,5,,,EthanRedwood,Louie Mammoliti,"Other (Questions, Pixels, Etc)","Friday, October 27, 2023 04:00pm (Sydney, Melbourne Time)",5741990950517158020,43-2023,5,
"2023 October 27, 8:45PM",Michael Bondarenko,Ad Account Review,5,5,5,5,"nope, perfect experience as always",none whatsoever,BrandonWestnedge,Michael Bondarenko,Ad Account Review (Before Going Live),"Thursday, October 26, 2023 06:30pm (Auckland Time)",5742109558715425800,43-2023,5,
"2023 October 28, 6:03AM",Luigi Mammoliti,Website Optimisation,5,5,5,5,I wasn't available at the time so Celine took the call. She was very happy.,,DamienHallion,Louie Mammoliti,Website Optimisation,"Friday, October 27, 2023 02:00pm (Brisbane Time)",5742444026711203100,43-2023,5,
"2023 October 28, 10:34AM",Shahin Ghorbani,Ad Account Review,5,5,5,5,thanks shahin,,PatrickThomas,Shahin Ghorbani,Ad Account Review (After Going Live),"Friday, October 27, 2023 11:30am (Brisbane Time)",5742606643428605460,43-2023,5,
"2023 October 28, 10:57AM",Luigi Mammoliti,Ad Account Review,5,5,5,5,,,PrabathDissanayake,Louie Mammoliti,Ad Account Review (After Going Live),"Saturday, October 28, 2023 10:50am (Sydney, Melbourne Time)",5742620768303193753,43-2023,5,
"2023 October 28, 11:03AM",Luigi Mammoliti,Ad Account Review,5,5,5,5,THank you!! Looking forward to what the next few days will bring us :),none!,Dalel,Louie Mammoliti,Ad Account Review (After Going Live),"Saturday, October 28, 2023 10:10am (Brisbane Time)",5742624194819252497,43-2023,5,
"2023 October 28, 12:01PM",Luigi Mammoliti,Product Research,5,5,5,5,,,Gayani,Louie Mammoliti,Product Research,"Saturday, October 28, 2023 12:00pm (Sydney, Melbourne Time)",5742658660747865895,43-2023,5,
"2023 October 29, 4:48PM",Shahin Ghorbani,Ad Account Review,5,5,5,5,No or May be if you can increase time limit of call from 20 mins to 30 mins.,Nope they are the best . Thanks for your your support. Really grateful ?,PratibhaPanwar,Shahin Ghorbani,Ad Account Review (Before Going Live),"Thursday, October 26, 2023 11:40am (Adelaide Time)",5743694804933748709,44-2023,5,
"2023 October 30, 2:04PM",Leon Tebyani,Website Optimisation,5,5,5,5,,,SufanaZaman,Leon Tebyani,Website Optimisation,"Monday, October 30, 2023 02:00pm (Sydney, Melbourne Time)",5744460491216311191,44-2023,5,
"2023 October 30, 2:21PM",Leon Tebyani,Ad Account Review,5,5,5,5,Legend as always,Nope,MelissaMartin,Leon Tebyani,Ad Account Review (After Going Live),"Monday, October 30, 2023 02:30pm (Sydney, Melbourne Time)",5744470767411061054,44-2023,5,
"2023 October 30, 2:53PM",Leon Tebyani,Website Optimisation,5,5,5,5,As always Leon was excellent and his knowledge and input greatly appreciated,Nil,JulieTurner,Leon Tebyani,Website Optimisation,"Thursday, October 26, 2023 02:00pm (Sydney, Melbourne Time)",5744490236728204497,44-2023,5,
"2023 October 30, 4:01PM",Michael Bondarenko,Ad Account Review,5,5,5,5,the best mate.,keep michael on.,Adam,Michael Bondarenko,Ad Account Review (After Going Live),"Monday, October 30, 2023 04:10pm (Sydney, Melbourne Time)",5744530968553296399,44-2023,5,
"2023 October 30, 6:25PM",Michael Bondarenko,Ad Angle Review,5,5,5,5,,,Ashish,Michael Bondarenko,Ad Account Review (Before Going Live),"Monday, October 30, 2023 04:30pm (Sydney, Melbourne Time)",5744617519514581451,44-2023,5,
"2023 October 30, 7:33PM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,ShikhaRana,Michael Bondarenko,Ad Account Review (After Going Live),"Monday, October 30, 2023 12:30pm (Brisbane Time)",5744658116305525369,44-2023,5,
"2023 October 31, 12:35PM",Michael Bondarenko,Ad Angle Review,5,5,5,5,,,TomKopun,Michael Bondarenko,Ad Account Review (Before Going Live),"Monday, October 30, 2023 02:20pm (Adelaide Time)",5745271537219021223,44-2023,5,
"2023 October 31, 1:32PM",Leon Tebyani,Product Research,5,5,5,4,,,ZohaibMohammad,Leon Tebyani,Product Research,"Tuesday, October 31, 2023 01:30pm (Sydney, Melbourne Time)",5745305285542206443,44-2023,4.75,
"2023 October 31, 2:02PM",Leon Tebyani,Product Research,5,5,5,5,This is my first time so really don't have anything to comment. I am relying on Leon's expertise and skills and I am sure with our collaborative approach we will achieve our common goal.,All went well. No further comments,AviSingh,Leon Tebyani,Product Research,"Tuesday, October 31, 2023 02:00pm (Sydney, Melbourne Time)",5745323630793448676,44-2023,5,
"2023 October 31, 5:11PM",Michael Bondarenko,Product Research,5,5,5,5,,,AimeLaw,Michael Bondarenko,Product Research,"Tuesday, October 31, 2023 02:00pm (Australia/Perth)",5745436629812014565,44-2023,5,
"2023 October 31, 5:18PM",Michael Bondarenko,Product Research,5,5,5,5,"He was really helpful, understanding and patient. Very attentive, nothing to improve that i can think of for now.",,tanitamarquezin,Michael Bondarenko,Product Research,"Tuesday, October 31, 2023 15:30 (Brisbane Time)",5745440969124074950,44-2023,5,
"2023 October 31, 7:54PM",Leon Tebyani,Ad Account Review,5,5,5,5,n/a,n/a,nicholas,Leon Tebyani,Ad Account Review (After Going Live),"Tuesday, October 31, 2023 06:10pm (Sydney, Melbourne Time)",5745534957537933408,44-2023,5,
"2023 October 31, 9:27PM",Shahin Ghorbani,Ad Angle Review,5,5,5,5,No it was great,No all good,AlexAng,Shahin Ghorbani,Ad Angle / Images / Audiences Review (NOT Ad Accounts),"Tuesday, October 31, 2023 04:50pm (Sydney, Melbourne Time)",5745590796211255131,44-2023,5,
"2023 November 1, 4:32AM",Shahin Ghorbani,Ad Account Review,5,5,5,5,No,No they are amazing,PratibhaPanwar,Shahin Ghorbani,Ad Account Review (Before Going Live),"Tuesday, October 31, 2023 02:20pm (Adelaide Time)",5745845376515378056,44-2023,5,
"2023 November 1, 11:24AM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,PatrickMillar,Michael Bondarenko,Ad Account Review (After Going Live),"Wednesday, November 1, 2023 10:50am (Sydney, Melbourne Time)",5746092480222277296,44-2023,5,
"2023 November 1, 1:54PM",Leon Tebyani,Product Research,5,5,5,5,,"No, it's my second time around booking a call for product research and I like that it's clear and straight to the point. The coaches are doing a great job. Thank you!",CandiceLefale,Leon Tebyani,Product Research,"Wednesday, November 1, 2023 12:30pm (Brisbane Time)",5746182459391353784,44-2023,5,
"2023 November 1, 7:40PM",Leon Tebyani,Ad Account Review,5,5,5,5,,,PrabathDissanayake,Leon Tebyani,Ad Account Review (After Going Live),"Wednesday, November 1, 2023 07:50pm (Sydney, Melbourne Time)",5746390585305928002,44-2023,5,
